City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,forbes,-33.3833,148.0167,14.08,50,2,3.22,AU,2022-12-05
135,bilma,18.6853,12.9164,23.15,19,6,2.45,NE,2022-12-05
136,tutoia,-2.7619,-42.2744,26.64,82,29,6.81,BR,2022-12-05
137,carroll,39.5501,-77.0164,7.62,51,0,2.57,US,2022-12-05
138,jiaocheng,24.6774,116.1389,8.78,84,98,1.48,CN,2022-12-05
139,vestmannaeyjar,63.4427,-20.2734,4.69,69,43,2.13,IS,2022-12-05
140,tezu,27.9167,96.1667,15.74,37,0,1.94,IN,2022-12-05
141,bambous virieux,-20.3428,57.7575,24.14,88,40,4.63,MU,2022-12-05
142,kapaa,22.0752,-159.319,23.99,89,49,5.66,US,2022-12-05
143,half moon bay,37.4636,-122.4286,16.99,72,0,6.17,US,2022-12-05
144,vigrestad,58.5667,5.7,1.99,78,42,3.4,NO,2022-12-05
145,nishihara,26.1842,127.7558,18.6,92,100,7.72,JP,2022-12-05
146,ocala,29.1872,-82.1401,25.06,70,40,0.45,US,2022-12-05
147,blackwater,-23.5833,148.8833,26.58,48,0,3.0,AU,2022-12-05
148,mangai,-4.05,19.5333,19.87,96,68,0.16,CD,2022-12-05
149,maiduguri,11.8464,13.1603,22.56,19,71,3.95,NG,2022-12-05
150,lompoc,34.6391,-120.4579,17.69,66,0,5.14,US,2022-12-05
151,vuktyl,63.8567,57.3094,-16.8,96,99,3.3,RU,2022-12-05
152,zyryanka,65.75,150.85,-45.63,98,34,2.05,RU,2022-12-05
153,cockburn town,21.4612,-71.1419,24.98,65,40,8.23,TC,2022-12-05
154,san carlos de bariloche,-41.1456,-71.3082,13.52,68,25,7.16,AR,2022-12-05
155,morondava,-20.2833,44.2833,23.98,84,26,2.59,MG,2022-12-05
156,puerto ayora,-0.7393,-90.3518,24.98,89,52,2.68,EC,2022-12-05
157,kahului,20.8947,-156.47,28.01,66,20,5.14,US,2022-12-05
158,murrhardt,48.9819,9.5705,4.5,95,100,0.98,DE,2022-12-05
159,mount pleasant,32.7941,-79.8626,14.44,95,75,2.06,US,2022-12-05
160,along,28.1667,94.7667,11.63,66,68,0.8,IN,2022-12-05
161,bentiu,9.2333,29.8333,25.36,34,3,2.37,SS,2022-12-05
162,boueni,-12.9025,45.0761,26.99,80,2,4.78,YT,2022-12-05
163,jiangyou,31.7667,104.7167,6.21,79,100,1.11,CN,2022-12-05
164,geraldton,-28.7667,114.6,20.23,88,75,5.14,AU,2022-12-05
165,codrington,-38.2667,141.9667,14.18,64,12,4.92,AU,2022-12-05
166,piacabucu,-10.4056,-36.4344,24.11,88,18,4.58,BR,2022-12-05
167,pershotravneve,51.3929,28.8684,-8.76,85,28,4.26,UA,2022-12-05
168,genhe,50.7833,121.5167,-18.39,99,100,1.59,CN,2022-12-05
169,verkhnevilyuysk,63.4453,120.3167,-23.82,99,100,1.74,RU,2022-12-05
170,batemans bay,-35.7167,150.1833,17.28,62,10,2.4,AU,2022-12-05
171,bossier city,32.516,-93.7321,25.1,74,100,6.17,US,2022-12-05
172,sorbhog,26.5,90.8667,15.26,64,0,1.86,IN,2022-12-05
173,itarema,-2.9248,-39.9167,26.47,78,16,8.13,BR,2022-12-05
174,saskylakh,71.9167,114.0833,-24.43,89,100,8.82,RU,2022-12-05
175,hasaki,35.7333,140.8333,5.68,86,100,11.76,JP,2022-12-05
176,maymyo,22.0333,96.4667,14.21,85,0,1.06,MM,2022-12-05
177,freistadt,48.511,14.5045,3.14,96,100,1.31,AT,2022-12-05
178,mar del plata,-38.0023,-57.5575,25.01,80,0,8.94,AR,2022-12-05
179,luanda,-8.8368,13.2343,27.0,78,75,3.09,AO,2022-12-05
180,ucluelet,48.9329,-125.5528,4.49,87,100,1.44,CA,2022-12-05
181,meulaboh,4.1363,96.1285,23.18,93,100,1.61,ID,2022-12-05
182,kruisfontein,-34.0033,24.7314,14.38,91,3,3.44,ZA,2022-12-05
183,lewiston,44.1003,-70.2148,6.86,73,0,2.06,US,2022-12-05
184,port-gentil,-0.7193,8.7815,27.98,89,40,3.6,GA,2022-12-05
185,chaman,30.9236,66.4512,8.7,41,4,0.83,PK,2022-12-05
186,ponta delgada,37.7333,-25.6667,17.5,88,40,6.17,PT,2022-12-05
187,baruun-urt,46.6806,113.2792,-15.89,72,3,6.75,MN,2022-12-05
188,champerico,14.3,-91.9167,33.3,73,4,2.76,GT,2022-12-05
189,bandarbeyla,9.4942,50.8122,25.11,73,28,8.35,SO,2022-12-05
190,batagay-alyta,67.8006,130.4114,-26.64,99,100,1.24,RU,2022-12-05
191,dalvik,65.9702,-18.5286,-4.04,78,94,0.74,IS,2022-12-05
192,wad rawah,15.1603,33.1397,26.16,36,1,6.36,SD,2022-12-05
193,naze,28.3667,129.4833,14.51,70,98,8.82,JP,2022-12-05
194,mao,39.8885,4.2658,14.31,82,0,2.57,ES,2022-12-05
195,rio gallegos,-51.6226,-69.2181,14.03,23,75,9.77,AR,2022-12-05
196,kaduqli,11.0167,29.7167,24.28,25,66,4.23,SD,2022-12-05
197,marystown,47.1666,-55.1483,2.47,82,45,3.18,CA,2022-12-05
198,airai,-8.9266,125.4092,15.66,70,86,0.68,TL,2022-12-05
199,maniitsoq,65.4167,-52.9,2.27,85,100,9.54,GL,2022-12-05
200,kirakira,-10.4544,161.9205,28.39,76,100,2.23,SB,2022-12-05
201,lubango,-14.9172,13.4925,16.77,92,100,1.24,AO,2022-12-05
202,linqing,36.8456,115.7117,-1.34,48,0,1.28,CN,2022-12-05
203,sisimiut,66.9395,-53.6735,1.0,71,100,5.37,GL,2022-12-05
204,cap malheureux,-19.9842,57.6142,23.59,78,29,2.68,MU,2022-12-05
205,lebu,-37.6167,-73.65,17.1,72,1,2.36,CL,2022-12-05
206,chapais,49.7834,-74.8492,-5.12,90,96,2.08,CA,2022-12-05
207,ambon,-3.6954,128.1814,25.13,15,40,3.09,ID,2022-12-05
208,visnes,59.3556,5.2242,2.9,86,75,3.6,NO,2022-12-05
209,jacareacanga,-6.2222,-57.7528,23.89,95,100,1.35,BR,2022-12-05
210,tabou,4.423,-7.3528,25.92,85,93,2.37,CI,2022-12-05
211,port lincoln,-34.7333,135.8667,16.03,66,100,6.26,AU,2022-12-05
